image_path,label,class_name,prompt,negative_prompt,seed,width,height,model_id,source_image,strength
/content/gtsrb_repo/data/generated/00022/00022_synth_000.png,22,bumpy_road,"a German warning bumpy road sign, triangular red border, black uneven road symbol, isolated sign, front view, realistic but clean training image","blurry, cropped, tilted, text, watermark, extra objects, multiple signs, distorted shape, low contrast, occluded, background clutter, bent sign, cut off sign",220043,512,512,runwayml/stable-diffusion-v1-5,/content/gtsrb_repo/data/GTSRB/Final_Training/Images/00022/00000_00001.ppm,0.4
/content/gtsrb_repo/data/generated/00022/00022_synth_001.png,22,bumpy_road,"close-up of a German bumpy road traffic sign, centered, no background clutter, traffic sign dataset style, sharp edges, front facing","blurry, cropped, tilted, text, watermark, extra objects, multiple signs, distorted shape, low contrast, occluded, background clutter, bent sign, cut off sign",220044,512,512,runwayml/stable-diffusion-v1-5,/content/gtsrb_repo/data/GTSRB/Final_Training/Images/00022/00000_00002.ppm,0.4
/content/gtsrb_repo/data/generated/00022/00022_synth_002.png,22,bumpy_road,"a single bumpy road warning sign on plain background, red triangular border, black rough road symbol, centered composition","blurry, cropped, tilted, text, watermark, extra objects, multiple signs, distorted shape, low contrast, occluded, background clutter, bent sign, cut off sign",220045,512,512,runwayml/stable-diffusion-v1-5,/content/gtsrb_repo/data/GTSRB/Final_Training/Images/00022/00000_00003.ppm,0.4
/content/gtsrb_repo/data/generated/00022/00022_synth_003.png,22,bumpy_road,"a centered German bumpy road traffic sign, red triangle border, white background, uneven road bump icon, clean dataset style, front facing, high contrast","blurry, cropped, tilted, text, watermark, extra objects, multiple signs, distorted shape, low contrast, occluded, background clutter, bent sign, cut off sign",220046,512,512,runwayml/stable-diffusion-v1-5,/content/gtsrb_repo/data/GTSRB/Final_Training/Images/00022/00000_00004.ppm,0.4
/content/gtsrb_repo/data/generated/00022/00022_synth_004.png,22,bumpy_road,"a German warning bumpy road sign, triangular red border, black uneven road symbol, isolated sign, front view, realistic but clean training image","blurry, cropped, tilted, text, watermark, extra objects, multiple signs, distorted shape, low contrast, occluded, background clutter, bent sign, cut off sign",220047,512,512,runwayml/stable-diffusion-v1-5,/content/gtsrb_repo/data/GTSRB/Final_Training/Images/00022/00000_00005.ppm,0.4
/content/gtsrb_repo/data/generated/00022/00022_synth_005.png,22,bumpy_road,"close-up of a German bumpy road traffic sign, centered, no background clutter, traffic sign dataset style, sharp edges, front facing","blurry, cropped, tilted, text, watermark, extra objects, multiple signs, distorted shape, low contrast, occluded, background clutter, bent sign, cut off sign",220048,512,512,runwayml/stable-diffusion-v1-5,/content/gtsrb_repo/data/GTSRB/Final_Training/Images/00022/00000_00006.ppm,0.4
/content/gtsrb_repo/data/generated/00022/00022_synth_006.png,22,bumpy_road,"a single bumpy road warning sign on plain background, red triangular border, black rough road symbol, centered composition","blurry, cropped, tilted, text, watermark, extra objects, multiple signs, distorted shape, low contrast, occluded, background clutter, bent sign, cut off sign",220049,512,512,runwayml/stable-diffusion-v1-5,/content/gtsrb_repo/data/GTSRB/Final_Training/Images/00022/00000_00007.ppm,0.4
/content/gtsrb_repo/data/generated/00022/00022_synth_007.png,22,bumpy_road,"a German warning bumpy road sign, triangular red border, black uneven road symbol, isolated sign, front view, realistic but clean training image","blurry, cropped, tilted, text, watermark, extra objects, multiple signs, distorted shape, low contrast, occluded, background clutter, bent sign, cut off sign",220051,512,512,runwayml/stable-diffusion-v1-5,/content/gtsrb_repo/data/GTSRB/Final_Training/Images/00022/00000_00009.ppm,0.4
/content/gtsrb_repo/data/generated/00022/00022_synth_008.png,22,bumpy_road,"close-up of a German bumpy road traffic sign, centered, no background clutter, traffic sign dataset style, sharp edges, front facing","blurry, cropped, tilted, text, watermark, extra objects, multiple signs, distorted shape, low contrast, occluded, background clutter, bent sign, cut off sign",220052,512,512,runwayml/stable-diffusion-v1-5,/content/gtsrb_repo/data/GTSRB/Final_Training/Images/00022/00000_00010.ppm,0.4
/content/gtsrb_repo/data/generated/00022/00022_synth_009.png,22,bumpy_road,"a single bumpy road warning sign on plain background, red triangular border, black rough road symbol, centered composition","blurry, cropped, tilted, text, watermark, extra objects, multiple signs, distorted shape, low contrast, occluded, background clutter, bent sign, cut off sign",220053,512,512,runwayml/stable-diffusion-v1-5,/content/gtsrb_repo/data/GTSRB/Final_Training/Images/00022/00000_00011.ppm,0.4
/content/gtsrb_repo/data/generated/00022/00022_synth_010.png,22,bumpy_road,"a German warning bumpy road sign, triangular red border, black uneven road symbol, isolated sign, front view, realistic but clean training image","blurry, cropped, tilted, text, watermark, extra objects, multiple signs, distorted shape, low contrast, occluded, background clutter, bent sign, cut off sign",220055,512,512,runwayml/stable-diffusion-v1-5,/content/gtsrb_repo/data/GTSRB/Final_Training/Images/00022/00000_00013.ppm,0.4
/content/gtsrb_repo/data/generated/00022/00022_synth_011.png,22,bumpy_road,"close-up of a German bumpy road traffic sign, centered, no background clutter, traffic sign dataset style, sharp edges, front facing","blurry, cropped, tilted, text, watermark, extra objects, multiple signs, distorted shape, low contrast, occluded, background clutter, bent sign, cut off sign",220056,512,512,runwayml/stable-diffusion-v1-5,/content/gtsrb_repo/data/GTSRB/Final_Training/Images/00022/00000_00014.ppm,0.4
/content/gtsrb_repo/data/generated/00022/00022_synth_012.png,22,bumpy_road,"a single bumpy road warning sign on plain background, red triangular border, black rough road symbol, centered composition","blurry, cropped, tilted, text, watermark, extra objects, multiple signs, distorted shape, low contrast, occluded, background clutter, bent sign, cut off sign",220057,512,512,runwayml/stable-diffusion-v1-5,/content/gtsrb_repo/data/GTSRB/Final_Training/Images/00022/00000_00015.ppm,0.4
/content/gtsrb_repo/data/generated/00022/00022_synth_013.png,22,bumpy_road,"a German warning bumpy road sign, triangular red border, black uneven road symbol, isolated sign, front view, realistic but clean training image","blurry, cropped, tilted, text, watermark, extra objects, multiple signs, distorted shape, low contrast, occluded, background clutter, bent sign, cut off sign",220059,512,512,runwayml/stable-diffusion-v1-5,/content/gtsrb_repo/data/GTSRB/Final_Training/Images/00022/00000_00017.ppm,0.4
/content/gtsrb_repo/data/generated/00022/00022_synth_014.png,22,bumpy_road,"close-up of a German bumpy road traffic sign, centered, no background clutter, traffic sign dataset style, sharp edges, front facing","blurry, cropped, tilted, text, watermark, extra objects, multiple signs, distorted shape, low contrast, occluded, background clutter, bent sign, cut off sign",220060,512,512,runwayml/stable-diffusion-v1-5,/content/gtsrb_repo/data/GTSRB/Final_Training/Images/00022/00000_00018.ppm,0.4
/content/gtsrb_repo/data/generated/00022/00022_synth_015.png,22,bumpy_road,"a single bumpy road warning sign on plain background, red triangular border, black rough road symbol, centered composition","blurry, cropped, tilted, text, watermark, extra objects, multiple signs, distorted shape, low contrast, occluded, background clutter, bent sign, cut off sign",220061,512,512,runwayml/stable-diffusion-v1-5,/content/gtsrb_repo/data/GTSRB/Final_Training/Images/00022/00000_00019.ppm,0.4
/content/gtsrb_repo/data/generated/00022/00022_synth_016.png,22,bumpy_road,"a centered German bumpy road traffic sign, red triangle border, white background, uneven road bump icon, clean dataset style, front facing, high contrast","blurry, cropped, tilted, text, watermark, extra objects, multiple signs, distorted shape, low contrast, occluded, background clutter, bent sign, cut off sign",220062,512,512,runwayml/stable-diffusion-v1-5,/content/gtsrb_repo/data/GTSRB/Final_Training/Images/00022/00000_00020.ppm,0.4
